window_s,seed,variant,mode,split,level,n,threshold,auroc,avg_precision,balanced_acc,accuracy,sensitivity,specificity,f1,cohen_kappa
15.0,0,reconstruction_only,full,test,window,5422,,0.6062,0.7132,0.5632,0.5738,0.6086,0.5178,0.6377,0.123
15.0,0,reconstruction_only,full,test,subject,40,,0.6075,0.6223,0.55,0.55,0.65,0.45,0.5909,0.1
15.0,0,reconstruction_only,full,test,subject_cal,40,0.49,0.6075,0.6223,0.55,0.55,0.7,0.4,0.6087,0.1
15.0,0,reconstruction_only,full,val,window,5166,,0.6362,0.7169,0.5965,0.6154,0.6913,0.5017,0.683,0.1942
15.0,0,reconstruction_only,full,val,subject,40,,0.74,0.6753,0.775,0.775,0.9,0.65,0.8,0.55
15.0,0,lejepa_only_128,full,test,window,5422,,0.7013,0.7788,0.5919,0.6643,0.9031,0.2808,0.7683,0.2057
15.0,0,lejepa_only_128,full,test,subject,40,,0.7275,0.7043,0.6,0.6,1.0,0.2,0.7143,0.2
15.0,0,lejepa_only_128,full,test,subject_cal,40,0.6388,0.7275,0.7043,0.575,0.575,0.6,0.55,0.5854,0.15
15.0,0,lejepa_only_128,full,val,window,5166,,0.6584,0.7125,0.5706,0.6438,0.9387,0.2025,0.7596,0.1599
15.0,0,lejepa_only_128,full,val,subject,40,,0.7225,0.6667,0.6,0.6,1.0,0.2,0.7143,0.2
15.0,0,mixed_128,full,test,window,5422,,0.5846,0.6805,0.5563,0.5955,0.725,0.3875,0.6885,0.1163
15.0,0,mixed_128,full,test,subject,40,,0.6,0.578,0.625,0.625,0.8,0.45,0.6809,0.25
15.0,0,mixed_128,full,test,subject_cal,40,0.6568,0.6,0.578,0.525,0.525,0.55,0.5,0.5366,0.05
15.0,0,mixed_128,full,val,window,5166,,0.6321,0.7138,0.5848,0.626,0.7921,0.3775,0.7175,0.1788
15.0,0,mixed_128,full,val,subject,40,,0.71,0.6562,0.625,0.625,0.95,0.3,0.717,0.25
15.0,0,mixed_300,full,test,window,5422,,0.641,0.7365,0.5921,0.6035,0.6409,0.5433,0.6658,0.1801
15.0,0,mixed_300,full,test,subject,40,,0.6475,0.7043,0.575,0.575,0.65,0.5,0.6047,0.15
15.0,0,mixed_300,full,test,subject_cal,40,0.5434,0.6475,0.7043,0.575,0.575,0.6,0.55,0.5854,0.15
15.0,0,mixed_300,full,val,window,5166,,0.6693,0.7578,0.6089,0.6247,0.6881,0.5297,0.6873,0.2179
15.0,0,mixed_300,full,val,subject,40,,0.805,0.846,0.7,0.7,0.85,0.55,0.7391,0.4
15.0,1,reconstruction_only,full,test,window,5123,,0.5857,0.6809,0.5588,0.5626,0.5756,0.542,0.6169,0.1132
15.0,1,reconstruction_only,full,test,subject,40,,0.6075,0.5808,0.65,0.65,0.7,0.6,0.6667,0.3
15.0,1,reconstruction_only,full,test,subject_cal,40,0.3366,0.6075,0.5808,0.55,0.55,0.75,0.35,0.625,0.1
15.0,1,reconstruction_only,full,val,window,5034,,0.6379,0.6924,0.6141,0.6047,0.5661,0.6622,0.6315,0.2173
15.0,1,reconstruction_only,full,val,subject,40,,0.745,0.698,0.675,0.675,0.65,0.7,0.6667,0.35
15.0,1,lejepa_only_128,full,test,window,5123,,0.7483,0.7963,0.621,0.6855,0.9097,0.3323,0.7797,0.2677
15.0,1,lejepa_only_128,full,test,subject,40,,0.8,0.7954,0.625,0.625,1.0,0.25,0.7273,0.25
15.0,1,lejepa_only_128,full,test,subject_cal,40,0.5356,0.8,0.7954,0.7,0.7,0.7,0.7,0.7,0.4
15.0,1,lejepa_only_128,full,val,window,5034,,0.6678,0.7278,0.5886,0.6585,0.9442,0.2329,0.7679,0.1996
15.0,1,lejepa_only_128,full,val,subject,40,,0.6725,0.6795,0.575,0.575,1.0,0.15,0.7018,0.15
15.0,1,mixed_128,full,test,window,5123,,0.6651,0.7664,0.6017,0.5345,0.3009,0.9025,0.4416,0.1718
15.0,1,mixed_128,full,test,subject,40,,0.7025,0.7549,0.6,0.6,0.25,0.95,0.3846,0.2
15.0,1,mixed_128,full,test,subject_cal,40,0.3772,0.7025,0.7549,0.675,0.675,0.5,0.85,0.6061,0.35
15.0,1,mixed_128,full,val,window,5034,,0.6428,0.731,0.5858,0.5286,0.2948,0.8769,0.4281,0.149
15.0,1,mixed_128,full,val,subject,40,,0.6675,0.6524,0.55,0.55,0.15,0.95,0.25,0.1
15.0,1,mixed_300,full,test,window,5123,,0.6976,0.793,0.6363,0.5899,0.4285,0.8441,0.5611,0.24
15.0,1,mixed_300,full,test,subject,40,,0.7225,0.7843,0.625,0.625,0.3,0.95,0.4444,0.25
15.0,1,mixed_300,full,test,subject_cal,40,0.338,0.7225,0.7843,0.55,0.55,0.75,0.35,0.625,0.1
15.0,1,mixed_300,full,val,window,5034,,0.648,0.7309,0.5881,0.5592,0.4412,0.7349,0.545,0.1611
15.0,1,mixed_300,full,val,subject,40,,0.67,0.6596,0.625,0.625,0.45,0.8,0.5455,0.25
15.0,2,reconstruction_only,full,test,window,5581,,0.6403,0.75,0.59,0.6347,0.7581,0.422,0.7242,0.1864
15.0,2,reconstruction_only,full,test,subject,40,,0.7225,0.7026,0.675,0.675,0.95,0.4,0.7451,0.35
15.0,2,reconstruction_only,full,test,subject_cal,40,0.6814,0.7225,0.7026,0.55,0.55,0.15,0.95,0.25,0.1
15.0,2,reconstruction_only,full,val,window,5431,,0.5442,0.6268,0.5045,0.5513,0.7677,0.2414,0.6683,0.0097
15.0,2,reconstruction_only,full,val,subject,40,,0.5325,0.6184,0.475,0.475,0.85,0.1,0.6182,-0.05
15.0,2,lejepa_only_128,full,test,window,5581,,0.6873,0.7745,0.5417,0.6533,0.9623,0.121,0.7784,0.1005
15.0,2,lejepa_only_128,full,test,subject,40,,0.7675,0.7167,0.55,0.55,1.0,0.1,0.6897,0.1
15.0,2,lejepa_only_128,full,test,subject_cal,40,0.6911,0.7675,0.7167,0.725,0.725,0.7,0.75,0.7179,0.45
15.0,2,lejepa_only_128,full,val,window,5431,,0.5501,0.5955,0.51,0.5855,0.935,0.0851,0.7265,0.0229
15.0,2,lejepa_only_128,full,val,subject,40,,0.5775,0.6117,0.475,0.475,0.95,0.0,0.6441,-0.05
15.0,2,mixed_128,full,test,window,5581,,0.6683,0.7318,0.5148,0.3965,0.0691,0.9605,0.1266,0.0223
15.0,2,mixed_128,full,test,subject,40,,0.72,0.6656,0.5,0.5,0.0,1.0,0.0,0.0
15.0,2,mixed_128,full,test,subject_cal,40,0.187,0.72,0.6656,0.7,0.7,0.85,0.55,0.7391,0.4
15.0,2,mixed_128,full,val,window,5431,,0.5496,0.5948,0.4791,0.4112,0.0969,0.8612,0.1624,-0.0357
15.0,2,mixed_128,full,val,subject,40,,0.61,0.5888,0.5,0.5,0.05,0.95,0.0909,0.0
15.0,2,mixed_300,full,test,window,5581,,0.6972,0.7579,0.6266,0.5822,0.4591,0.7941,0.5816,0.2198
15.0,2,mixed_300,full,test,subject,40,,0.785,0.7814,0.625,0.625,0.45,0.8,0.5455,0.25
15.0,2,mixed_300,full,test,subject_cal,40,0.3062,0.785,0.7814,0.725,0.725,0.75,0.7,0.7317,0.45
15.0,2,mixed_300,full,val,window,5431,,0.5483,0.6256,0.5335,0.5146,0.4271,0.6399,0.5089,0.0627
15.0,2,mixed_300,full,val,subject,40,,0.555,0.6137,0.575,0.575,0.4,0.75,0.4848,0.15
15.0,3,reconstruction_only,full,test,window,5410,,0.6345,0.7415,0.5776,0.6126,0.7313,0.4239,0.6985,0.1597
15.0,3,reconstruction_only,full,test,subject,40,,0.685,0.7011,0.55,0.55,0.8,0.3,0.64,0.1
15.0,3,reconstruction_only,full,test,subject_cal,40,0.536,0.685,0.7011,0.625,0.625,0.8,0.45,0.6809,0.25
15.0,3,reconstruction_only,full,val,window,5412,,0.5864,0.6681,0.5658,0.602,0.7948,0.3367,0.6982,0.1387
15.0,3,reconstruction_only,full,val,subject,40,,0.595,0.6225,0.6,0.6,0.85,0.35,0.68,0.2
15.0,3,lejepa_only_128,full,test,window,5410,,0.625,0.7281,0.5757,0.5669,0.537,0.6144,0.6035,0.1422
15.0,3,lejepa_only_128,full,test,subject,40,,0.64,0.6481,0.55,0.55,0.45,0.65,0.5,0.1
15.0,3,lejepa_only_128,full,test,subject_cal,40,0.5825,0.64,0.6481,0.575,0.575,0.3,0.85,0.4138,0.15
15.0,3,lejepa_only_128,full,val,window,5412,,0.6426,0.6941,0.6085,0.6225,0.6969,0.5202,0.6813,0.2189
15.0,3,lejepa_only_128,full,val,subject,40,,0.7175,0.7783,0.6,0.6,0.7,0.5,0.6364,0.2
15.0,3,mixed_128,full,test,window,5410,,0.5965,0.6813,0.5759,0.5762,0.5771,0.5746,0.6256,0.1451
15.0,3,mixed_128,full,test,subject,40,,0.6675,0.6481,0.625,0.625,0.65,0.6,0.6341,0.25
15.0,3,mixed_128,full,test,subject_cal,40,0.6798,0.6675,0.6481,0.55,0.55,0.35,0.75,0.4375,0.1
15.0,3,mixed_128,full,val,window,5412,,0.6015,0.6788,0.5644,0.5737,0.6235,0.5053,0.6288,0.1283
15.0,3,mixed_128,full,val,subject,40,,0.6325,0.7062,0.525,0.525,0.6,0.45,0.5581,0.05
15.0,3,mixed_300,full,test,window,5410,,0.6191,0.713,0.5755,0.6131,0.741,0.41,0.7016,0.1562
15.0,3,mixed_300,full,test,subject,40,,0.6375,0.6251,0.625,0.625,0.9,0.35,0.7059,0.25
15.0,3,mixed_300,full,test,subject_cal,40,0.605,0.6375,0.6251,0.575,0.575,0.45,0.7,0.5143,0.15
15.0,3,mixed_300,full,val,window,5412,,0.6183,0.7046,0.5667,0.6022,0.791,0.3424,0.6972,0.1405
15.0,3,mixed_300,full,val,subject,40,,0.67,0.7018,0.6,0.6,0.8,0.4,0.6667,0.2
15.0,4,reconstruction_only,full,test,window,5547,,0.6051,0.6778,0.5616,0.5886,0.7147,0.4085,0.6715,0.1267
15.0,4,reconstruction_only,full,test,subject,40,,0.65,0.7066,0.575,0.575,0.75,0.4,0.6383,0.15
15.0,4,reconstruction_only,full,test,subject_cal,40,0.5397,0.65,0.7066,0.6,0.6,0.7,0.5,0.6364,0.2
15.0,4,reconstruction_only,full,val,window,5348,,0.6632,0.7472,0.6168,0.6473,0.7453,0.4882,0.7235,0.238
15.0,4,reconstruction_only,full,val,subject,40,,0.6825,0.6183,0.65,0.65,0.8,0.5,0.6957,0.3
15.0,4,lejepa_only_128,full,test,window,5547,,0.6415,0.7315,0.5589,0.6182,0.8946,0.2233,0.7338,0.1301
15.0,4,lejepa_only_128,full,test,subject,40,,0.6825,0.7297,0.55,0.55,0.95,0.15,0.6786,0.1
15.0,4,lejepa_only_128,full,test,subject_cal,40,0.5636,0.6825,0.7297,0.55,0.55,0.75,0.35,0.625,0.1
15.0,4,lejepa_only_128,full,val,window,5348,,0.7309,0.7817,0.6113,0.6842,0.9178,0.3047,0.7825,0.2495
15.0,4,lejepa_only_128,full,val,subject,40,,0.715,0.6671,0.6,0.6,0.95,0.25,0.7037,0.2
15.0,4,mixed_128,full,test,window,5547,,0.6345,0.7123,0.5852,0.5313,0.2795,0.891,0.4123,0.1498
15.0,4,mixed_128,full,test,subject,40,,0.7125,0.7288,0.55,0.55,0.1,1.0,0.1818,0.1
15.0,4,mixed_128,full,test,subject_cal,40,0.2955,0.7125,0.7288,0.725,0.725,0.65,0.8,0.7027,0.45
15.0,4,mixed_128,full,val,window,5348,,0.7091,0.7784,0.5804,0.4963,0.2266,0.9342,0.3577,0.1309
15.0,4,mixed_128,full,val,subject,40,,0.7325,0.7074,0.5,0.5,0.05,0.95,0.0909,0.0
15.0,4,mixed_300,full,test,window,5547,,0.6098,0.6786,0.5774,0.5598,0.4775,0.6773,0.5606,0.1455
15.0,4,mixed_300,full,test,subject,40,,0.6425,0.679,0.575,0.575,0.4,0.75,0.4848,0.15
15.0,4,mixed_300,full,test,subject_cal,40,0.359,0.6425,0.679,0.575,0.575,0.7,0.45,0.6222,0.15
15.0,4,mixed_300,full,val,window,5348,,0.7042,0.7994,0.6356,0.6081,0.5199,0.7512,0.6215,0.2461
15.0,4,mixed_300,full,val,subject,40,,0.7175,0.7172,0.625,0.625,0.4,0.85,0.5161,0.25
30.0,0,reconstruction_only,full,test,window,4204,,0.6801,0.8004,0.632,0.6339,0.6374,0.6267,0.7019,0.2401
30.0,0,reconstruction_only,full,test,subject,40,,0.6925,0.649,0.625,0.625,0.65,0.6,0.6341,0.25
30.0,0,reconstruction_only,full,test,subject_cal,40,0.565,0.6925,0.649,0.6,0.6,0.55,0.65,0.5789,0.2
30.0,0,reconstruction_only,full,val,window,3676,,0.6485,0.7706,0.6031,0.6338,0.6998,0.5064,0.7158,0.202
30.0,0,reconstruction_only,full,val,subject,40,,0.7125,0.6554,0.7,0.7,0.85,0.55,0.7391,0.4
30.0,0,lejepa_only_128,full,test,window,4204,,0.7377,0.8364,0.6195,0.7174,0.8973,0.3417,0.8111,0.2702
30.0,0,lejepa_only_128,full,test,subject,40,,0.7125,0.6679,0.575,0.575,0.95,0.2,0.6909,0.15
30.0,0,lejepa_only_128,full,test,subject_cal,40,0.6454,0.7125,0.6679,0.675,0.675,0.6,0.75,0.6486,0.35
30.0,0,lejepa_only_128,full,val,window,3676,,0.6218,0.7468,0.5373,0.6659,0.9422,0.1324,0.788,0.0912
30.0,0,lejepa_only_128,full,val,subject,40,,0.6375,0.6548,0.525,0.525,1.0,0.05,0.678,0.05
30.0,0,mixed_128,full,test,window,4204,,0.6958,0.8221,0.6375,0.6361,0.6335,0.6414,0.7019,0.2486
30.0,0,mixed_128,full,test,subject,40,,0.7425,0.752,0.65,0.65,0.65,0.65,0.65,0.3
30.0,0,mixed_128,full,test,subject_cal,40,0.4852,0.7425,0.752,0.625,0.625,0.65,0.6,0.6341,0.25
30.0,0,mixed_128,full,val,window,3676,,0.6153,0.7519,0.5819,0.6036,0.6503,0.5136,0.6837,0.1567
30.0,0,mixed_128,full,val,subject,40,,0.7175,0.6522,0.725,0.725,0.8,0.65,0.7442,0.45
30.0,0,mixed_300,full,test,window,4204,,0.7084,0.8409,0.629,0.6568,0.7077,0.5503,0.7361,0.2476
30.0,0,mixed_300,full,test,subject,40,,0.71,0.7608,0.65,0.65,0.75,0.55,0.6818,0.3
30.0,0,mixed_300,full,test,subject_cal,40,0.5814,0.71,0.7608,0.6,0.6,0.6,0.6,0.6,0.2
30.0,0,mixed_300,full,val,window,3676,,0.6552,0.7815,0.6028,0.6493,0.7494,0.4561,0.738,0.2085
30.0,0,mixed_300,full,val,subject,40,,0.78,0.7128,0.75,0.75,0.9,0.6,0.7826,0.5
30.0,1,reconstruction_only,full,test,window,3813,,0.6037,0.7569,0.571,0.6019,0.6544,0.4875,0.6926,0.1333
30.0,1,reconstruction_only,full,test,subject,40,,0.5975,0.5759,0.575,0.575,0.65,0.5,0.6047,0.15
30.0,1,reconstruction_only,full,test,subject_cal,40,0.4107,0.5975,0.5759,0.55,0.55,0.75,0.35,0.625,0.1
30.0,1,reconstruction_only,full,val,window,3257,,0.6911,0.7882,0.6412,0.6426,0.6458,0.6366,0.7034,0.2628
30.0,1,reconstruction_only,full,val,subject,40,,0.72,0.6514,0.7,0.7,0.65,0.75,0.6842,0.4
30.0,1,lejepa_only_128,full,test,window,3813,,0.7684,0.8562,0.5,0.6853,1.0,0.0,0.8133,0.0
30.0,1,lejepa_only_128,full,test,subject,40,,0.7825,0.7474,0.5,0.5,1.0,0.0,0.6667,0.0
30.0,1,lejepa_only_128,full,test,subject_cal,40,0.6409,0.7825,0.7474,0.725,0.725,0.8,0.65,0.7442,0.45
30.0,1,lejepa_only_128,full,val,window,3257,,0.7059,0.7787,0.5,0.6561,1.0,0.0,0.7924,0.0
30.0,1,lejepa_only_128,full,val,subject,40,,0.6675,0.6123,0.5,0.5,1.0,0.0,0.6667,0.0
30.0,1,mixed_128,full,test,window,3813,,0.6722,0.8163,0.5855,0.455,0.2334,0.9375,0.3699,0.1192
30.0,1,mixed_128,full,test,subject,40,,0.6775,0.7099,0.525,0.525,0.05,1.0,0.0952,0.05
30.0,1,mixed_128,full,test,subject_cal,40,0.1982,0.6775,0.7099,0.55,0.55,0.8,0.3,0.64,0.1
30.0,1,mixed_128,full,val,window,3257,,0.6348,0.7771,0.5713,0.4572,0.2059,0.9366,0.3323,0.1059
30.0,1,mixed_128,full,val,subject,40,,0.6025,0.6402,0.55,0.55,0.1,1.0,0.1818,0.1
30.0,1,mixed_300,full,test,window,3813,,0.651,0.7734,0.6058,0.6601,0.7524,0.4592,0.7521,0.2117
30.0,1,mixed_300,full,test,subject,40,,0.68,0.6363,0.65,0.65,0.8,0.5,0.6957,0.3
30.0,1,mixed_300,full,test,subject_cal,40,0.4736,0.68,0.6363,0.625,0.625,0.8,0.45,0.6809,0.25
30.0,1,mixed_300,full,val,window,3257,,0.643,0.7796,0.5827,0.626,0.7216,0.4437,0.7169,0.1663
30.0,1,mixed_300,full,val,subject,40,,0.63,0.5924,0.625,0.625,0.85,0.4,0.6939,0.25
30.0,2,reconstruction_only,full,test,window,4284,,0.6841,0.839,0.5552,0.7288,0.9624,0.1481,0.835,0.1428
30.0,2,reconstruction_only,full,test,subject,40,,0.7675,0.7298,0.525,0.525,1.0,0.05,0.678,0.05
30.0,2,reconstruction_only,full,test,subject_cal,40,0.7053,0.7675,0.7298,0.625,0.625,0.95,0.3,0.717,0.25
30.0,2,reconstruction_only,full,val,window,3986,,0.5479,0.6469,0.5061,0.6034,0.9632,0.0491,0.7465,0.0145
30.0,2,reconstruction_only,full,val,subject,40,,0.5325,0.575,0.5,0.5,1.0,0.0,0.6667,0.0
30.0,2,lejepa_only_128,full,test,window,4284,,0.7123,0.8537,0.5529,0.7241,0.9545,0.1513,0.8315,0.1357
30.0,2,lejepa_only_128,full,test,subject,40,,0.7975,0.7612,0.55,0.55,1.0,0.1,0.6897,0.1
30.0,2,lejepa_only_128,full,test,subject_cal,40,0.6,0.7975,0.7612,0.7,0.7,0.6,0.8,0.6667,0.4
30.0,2,lejepa_only_128,full,val,window,3986,,0.5607,0.6194,0.514,0.5946,0.8928,0.1351,0.7276,0.0319
30.0,2,lejepa_only_128,full,val,subject,40,,0.58,0.5911,0.475,0.475,0.95,0.0,0.6441,-0.05
30.0,2,mixed_128,full,test,window,4284,,0.7012,0.8336,0.5891,0.468,0.3051,0.8731,0.4499,0.1205
30.0,2,mixed_128,full,test,subject,40,,0.7675,0.7368,0.525,0.525,0.1,0.95,0.1739,0.05
30.0,2,mixed_128,full,test,subject_cal,40,0.3005,0.7675,0.7368,0.725,0.725,0.8,0.65,0.7442,0.45
30.0,2,mixed_128,full,val,window,3986,,0.5472,0.6238,0.5174,0.4732,0.3095,0.7253,0.416,0.0305
30.0,2,mixed_128,full,val,subject,40,,0.58,0.5977,0.5,0.5,0.2,0.8,0.2857,0.0
30.0,2,mixed_300,full,test,window,4284,,0.7251,0.8595,0.6648,0.6412,0.6095,0.7201,0.7079,0.2732
30.0,2,mixed_300,full,test,subject,40,,0.8075,0.7978,0.725,0.725,0.65,0.8,0.7027,0.45
30.0,2,mixed_300,full,test,subject_cal,40,0.4005,0.8075,0.7978,0.8,0.8,0.85,0.75,0.8095,0.6
30.0,2,mixed_300,full,val,window,3986,,0.5602,0.6913,0.5438,0.5569,0.6057,0.4818,0.6238,0.0862
30.0,2,mixed_300,full,val,subject,40,,0.54,0.6126,0.55,0.55,0.6,0.5,0.5714,0.1
30.0,3,reconstruction_only,full,test,window,4084,,0.5804,0.7245,0.5631,0.6119,0.7007,0.4256,0.7098,0.1245
30.0,3,reconstruction_only,full,test,subject,40,,0.595,0.5579,0.575,0.575,0.85,0.3,0.6667,0.15
30.0,3,reconstruction_only,full,test,subject_cal,40,0.5434,0.595,0.5579,0.625,0.625,0.75,0.5,0.6667,0.25
30.0,3,reconstruction_only,full,val,window,3964,,0.6327,0.7603,0.5921,0.6574,0.8177,0.3665,0.7548,0.1976
30.0,3,reconstruction_only,full,val,subject,40,,0.615,0.6107,0.6,0.6,0.85,0.35,0.68,0.2
30.0,3,lejepa_only_128,full,test,window,4084,,0.6029,0.7445,0.5657,0.6281,0.7415,0.39,0.7298,0.1339
30.0,3,lejepa_only_128,full,test,subject,40,,0.6175,0.6213,0.6,0.6,0.9,0.3,0.6923,0.2
30.0,3,lejepa_only_128,full,test,subject_cal,40,0.4765,0.6175,0.6213,0.65,0.65,1.0,0.3,0.7407,0.3
30.0,3,lejepa_only_128,full,val,window,3964,,0.6622,0.7815,0.6019,0.6599,0.8024,0.4013,0.7527,0.2153
30.0,3,lejepa_only_128,full,val,subject,40,,0.71,0.6885,0.65,0.65,0.85,0.45,0.7083,0.3
30.0,3,mixed_128,full,test,window,4084,,0.627,0.7866,0.5928,0.5975,0.6059,0.5797,0.6709,0.1677
30.0,3,mixed_128,full,test,subject,40,,0.64,0.6528,0.575,0.575,0.65,0.5,0.6047,0.15
30.0,3,mixed_128,full,test,subject_cal,40,0.5772,0.64,0.6528,0.65,0.65,0.5,0.8,0.5882,0.3
30.0,3,mixed_128,full,val,window,3964,,0.6477,0.7684,0.5999,0.6196,0.6678,0.532,0.6936,0.1939
30.0,3,mixed_128,full,val,subject,40,,0.6875,0.6384,0.625,0.625,0.7,0.55,0.6512,0.25
30.0,3,mixed_300,full,test,window,4084,,0.5502,0.72,0.524,0.5984,0.7339,0.3141,0.7123,0.0497
30.0,3,mixed_300,full,test,subject,40,,0.565,0.5629,0.525,0.525,0.85,0.2,0.6415,0.05
30.0,3,mixed_300,full,test,subject_cal,40,0.5966,0.565,0.5629,0.625,0.625,0.6,0.65,0.6154,0.25
30.0,3,mixed_300,full,val,window,3964,,0.6278,0.7607,0.5727,0.6415,0.8103,0.3352,0.7446,0.1568
30.0,3,mixed_300,full,val,subject,40,,0.6125,0.6303,0.55,0.55,0.9,0.2,0.6667,0.1
30.0,4,reconstruction_only,full,test,window,4186,,0.6752,0.7604,0.6063,0.6429,0.7759,0.4367,0.7253,0.2211
30.0,4,reconstruction_only,full,test,subject,40,,0.71,0.6994,0.625,0.625,0.85,0.4,0.6939,0.25
30.0,4,reconstruction_only,full,test,subject_cal,40,0.6694,0.71,0.6994,0.625,0.625,0.65,0.6,0.6341,0.25
30.0,4,reconstruction_only,full,val,window,4021,,0.7312,0.8671,0.6637,0.7235,0.8003,0.527,0.8062,0.3237
30.0,4,reconstruction_only,full,val,subject,40,,0.785,0.8021,0.7,0.7,0.85,0.55,0.7391,0.4
30.0,4,lejepa_only_128,full,test,window,4186,,0.6283,0.7433,0.5385,0.608,0.8608,0.2162,0.7275,0.0857
30.0,4,lejepa_only_128,full,test,subject,40,,0.6275,0.7165,0.475,0.475,0.8,0.15,0.6038,-0.05
30.0,4,lejepa_only_128,full,test,subject_cal,40,0.6263,0.6275,0.7165,0.575,0.575,0.7,0.45,0.6222,0.15
30.0,4,lejepa_only_128,full,val,window,4021,,0.744,0.8623,0.6229,0.7376,0.8851,0.3607,0.829,0.2748
30.0,4,lejepa_only_128,full,val,subject,40,,0.7275,0.7031,0.625,0.625,0.9,0.35,0.7059,0.25
30.0,4,mixed_128,full,test,window,4186,,0.6186,0.7097,0.5458,0.6092,0.84,0.2515,0.7232,0.1005
30.0,4,mixed_128,full,test,subject,40,,0.64,0.6741,0.525,0.525,0.85,0.2,0.6415,0.05
30.0,4,mixed_128,full,test,subject_cal,40,0.6191,0.64,0.6741,0.6,0.6,0.7,0.5,0.6364,0.2
30.0,4,mixed_128,full,val,window,4021,,0.7096,0.8671,0.5982,0.7105,0.855,0.3413,0.8094,0.2152
30.0,4,mixed_128,full,val,subject,40,,0.715,0.7469,0.575,0.575,0.85,0.3,0.6667,0.15
30.0,4,mixed_300,full,test,window,4186,,0.664,0.7446,0.5676,0.6398,0.9025,0.2326,0.7528,0.1517
30.0,4,mixed_300,full,test,subject,40,,0.705,0.6898,0.575,0.575,0.95,0.2,0.6909,0.15
30.0,4,mixed_300,full,test,subject_cal,40,0.7739,0.705,0.6898,0.65,0.65,0.65,0.65,0.65,0.3
30.0,4,mixed_300,full,val,window,4021,,0.744,0.8827,0.6,0.7302,0.8976,0.3024,0.827,0.2305
30.0,4,mixed_300,full,val,subject,40,,0.725,0.6784,0.625,0.625,1.0,0.25,0.7273,0.25
